artist,count
Four Tet,13980
Juan Luis Guerra,13953
The Whispers,13940
尾崎豊,13938
GUMI,13925
hide,13924
Billy Talent,13922
サンボマスター,13922
中森明菜,13919
Dirty,13919
Yuna,13903
Boney James,13894
The Naked and Famous,13890
JAM Project,13874
Sugar Ray,13859
飛蘭,13856
Celebration,13847
Sky,13844
The Voice,13830
Blu,13783
陰陽座,13767
Groove Armada,13767
Bombay Bicycle Club,13756
Riot,13740
POLYSICS,13729
ORANGE RANGE,13721
Levels,13709
Cradle of Filth,13704
Cliff Richard,13700
Laura Pausini,13678
Phil Wickham,13670
Fine Young Cannibals,13661
Meat Loaf,13645
Charice,13640
Kirk Whalum,13631
Juicy J,13613
Washed Out,13610
Cold War Kids,13609
Carole King,13592
Aqua,13585
Dragon Ash,13579
Fugees,13558
Tori Amos,13558
XTC,13547
Shalamar,13543
Overkill,13538
Will Downing,13525
ID,13498
Pieces,13497
The Velvet Underground,13490
Tinie Tempah,13487
James,13479
Teddy Pendergrass,13478
ZUN,13454
Misery,13440
Jennifer Hudson,13408
Big Time Rush,13404
Metronomy,13403
Girls Dead Monster,13391
Vybz Kartel,13381
Sara Evans,13373
Egoist,13357
NEEDTOBREATHE,13353
Lacuna Coil,13353
Third Eye Blind,13341
Tanya Tucker,13340
Alesso,13330
Alabama Shakes,13321
Craig Morgan,13307
Hurts,13307
Cash Cash,13283
Dusty Springfield,13281
Chris Isaak,13272
Bauhaus,13266
Matt Maher,13266
Aqua Timez,13259
Tom Odell,13243
De La Soul,13242
Plastic Tree,13239
Bad Boy,13227
David Lee Roth,13205
All That Remains,13199
Duke Ellington,13195
My Bloody Valentine,13186
Michael Bolton,13185
Beach House,13182
Frankie Goes to Hollywood,13128
Nazareth,13126
Night Ranger,13119
Warrior,13083
New Kids on the Block,13073
Porcupine Tree,13070
m.o.v.e,13058
Main,13044
Tom Petty and the Heartbreakers,13041
Drowning Pool,13015
Bobby Womack,13014
Fear Factory,12993
Christian Gospel Choir,12991
Tesla,12991
Tyler Farr,12989
Sigur Rós,12986
Talk Talk,12986
FUNKY MONKEY BABYS,12974
Soft Cell,12956
Blinded,12949
Martin Solveig,12946
Feist,12936
Melendi,12920
DragonForce,12915
Blind Guardian,12901
Marty Robbins,12895
Sister Sledge,12894
Ronnie Milsap,12884
Golden Earring,12874
Twisted Sister,12859
Plumb,12851
Missy Elliott,12841
Freddie McGregor,12840
Five for Fighting,12834
Kacey Musgraves,12812
Broken Bells,12794
Lloyd,12789
"Tyler, the Creator",12783
Gnarls Barkley,12765
槇原敬之,12763
Foxes,12757
12 Stones,12745
Cobra Starship,12735
Scotty McCreery,12716
èŒ…åŽŸå®Ÿé‡Œ,12715
Afgan,12715
Siouxsie and the Banshees,12714
Sonata Arctica,12711
Michelle Branch,12675
Annie Lennox,12665
Crossfaith,12650
3OH!3,12636
Mos Def,12635
Angus & Julia Stone,12628
妖精帝國,12618
Paul Young,12567
Jeff Buckley,12566
MBLAQ,12536
Paranoid,12523
The Hollies,12517
Uncle Kracker,12515
